FROM_ID;TO_ID;DURATION_H;DIST_KM
12;6;0,964708333;34,22524
12;7;1,264972222;35,47525
12;8;1,760172222;60,57929
12;9;2,100694444;56,00863
12;10;0,899113889;24,31949
12;11;1,808230556;82,60959
12;12;0;0
12;13;1,818772222;82,17123
12;14;2,240294444;98,02911
12;15;1,061213889;45,12589
12;16;1,565969444;76,83303
12;17;2,206244444;58,93085
12;18;2,147880556;95,75723
12;19;2,354205556;100,44382
12;20;1,956847222;51,44882
12;21;1,003283333;24,26293
12;22;1,670044444;63,46121
12;23;1,390961111;55,64893
12;24;1,849341667;89,65322
12;25;1,941777778;50,99674
12;26;1,434041667;40,94321
12;27;2,122819444;91,98198
12;28;2,187305556;58,36264
12;29;0,823302778;22,71884
12;30;2,299575;99,24841
12;31;0,856316667;23,2708
12;32;2,191372222;103,58964
12;33;1,164461111;49,8853
12;34;1,332952778;57,9954
12;35;2,126911111;93,62491
12;36;2,133172222;100,44127
12;37;0,981111111;33,71402
12;38;1,960069444;51,78991
12;39;2,148547222;99,21848
12;40;1,323666667;62,6325
12;41;0,396013889;9,90004
12;42;1,687691667;78,16766
12;43;1,882347222;98,81639
12;44;0,776175;19,06748
12;45;1,956561111;89,38973
12;0;1,121483333;48,96078
13;1;1,456833333;55,03545
13;2;1,160422222;41,82663
13;3;1,248227778;51,85482
13;4;1,493758333;64,13152
13;5;1,359419444;65,99555
13;6;1,095058333;53,46187
13;7;1,572947222;83,76133
13;8;1,950877778;83,73938
13;9;1,088022222;43,72668
13;10;1,8319;84,83887
13;11;0,785388889;22,06475
13;12;1,818772222;82,17123
13;13;0;0
13;14;1,268586111;45,63074
13;15;1,251919444;68,28598
13;16;0,594261111;24,43466
13;17;1,618297222;59,87938
13;18;1,176172222;43,35886
13;19;1,3825;48,04545
13;20;1,368613889;52,38888
13;21;1,884861111;67,94306
13;22;1,326722222;51,90868
13;23;1,581669444;78,80902
13;24;0,877633333;37,25485
13;25;1,353827778;51,94527
13;26;1,359033333;49,32626
13;27;0,811877778;22,52478
13;28;1,599075;59,3027
13;29;1,445688889;54,90507
13;30;1,327869444;46,85005
13;31;1,553416667;72,87191
13;32;1,219666667;51,19127
13;33;0,755730556;34,08089
13;34;1,523658333;81,15549
13;35;1,155202778;41,22654
13;36;1,735019444;75,78677
13;37;1,238794444;59,91656
13;38;0,924611111;32,71876
13;39;1,176841667;46,82011
13;40;0,495136111;19,54065
13;41;1,458752778;73,39549
13;42;0,715986111;25,7693
13;43;0,910641667;46,41803
13;44;2,209466667;95,87245
13;45;0,984855556;36,99136
13;0;0,718475;33,52825
14;1;1,928472222;72,60079
14;2;0,660261111;19,80797
14;3;0,510583333;18,21075
14;4;0,756113889;30,48744
14;5;1,780938889;81,85342
14;6;1,516577778;69,31974
14;7;1,994466667;99,6192
14;8;1,655869444;65,21577
14;9;1,848777778;76,6434
14;10;2,253422222;100,69674
14;11;1,116036111;39,26812
14;12;2,240294444;98,02911
14;13;1,268586111;45,63074
14;14;0;0
14;15;1,673441667;84,14386
14;16;0,700027778;25,2965
14;17;2,37905;92,7961
14;18;1,297672222;43,22591
14;19;0,376811111;15,438
14;20;2,129369444;85,3056
